Designator,Quantity,Comment,Footprint

"P101","1","","3x3x3"
"C300, C504","2","1u","0402-capacitor"
"C400, C401, C500, C501, C503, C601, C606","7","100n","0402-capacitor"
"C502","1","10nF","0402-capacitor"
"C505","1","100p","0402-capacitor"
"R200, R500, R600","3","100K","0402-resistor"
"R201","1","11.8K","0402-resistor"
"R400, R402, R403, R404, R405","5","10K","0402-resistor"
"R401","1","90K","0402-resistor"
"R501","1","1K","0402-resistor"
"R502","1","10R","0402-resistor"
"R503","1","4M7","0402-resistor"
"R504","1","470R","0402-resistor"
"R505, R506, R507, R508","4","51R","0402-resistor"
"R509, R602","2","0R","0402-resistor"
"R601","1","910K","0402-resistor"
"C204","1","2u2","0603-capacitor"
"C205","1","2u2 (16V)","0603-capacitor"
"C301","1","10u","0603-capacitor"
"C600, C602, C604","3","4u7","0603-capacitor"
"C603","1","100n","0603-capacitor"
"C605","1","1u","0603-capacitor"
"D601","1","ASMT-CB20","0603-LED"
"C200, C201","2","2u2 (35V)","0805-CAP"
"C202, C203","2","22u","0805-CAP"
"S600, S601","2","B3SE-1002P","B3SE-1002P"
"P300, P500","2","","HDR1X2"
"P301","1","","HDR1X4"
"Q400","1","VN5E010AH","HPAK6"
"U300","1","ISP1507","ISP1507"
"P600","1","KSSG23J12","KSSG23J12"
"P100","1","PJ-063AH","PJ-063AH"
"D200","1","1N5819HW-7-F","SOD123-DIODE"
"D500, D501, D600","3","PMEG2010EA,115","SOD-323"
"U201","1","AP3012","SOT-235"
"L200, L201","2","SRN3015-100M","SRN3015"
"TP200, TP201, TP202, TP203, TP204, TP400, TP401, TP402, TP403, TP500, TP501, TP502, TP503, TP600, TP601, TP602, TP603, TP604, TP605, TP606, TP607","21","TP","TESTPOINT"
"Q600","1","DMN2050LFDB","U-DFN2020-6"
"U500","1","ADS1118","VSSOP-10"
"U200","1","TPS62177","WSON10"
"LCD600","1","ER-OLED015-2","XF2M-2415-1A-REV"
