Designator,Quantity,Footprint,Value,Comment

"D500, D501, D502, D503","4","19-237/R6GHBHC-A01/2T","19-237/R6GHBHC-A01/2T","19-237/R6GHBHC-A01/2T"
"C100, C101","2","C0402L","200pF",""
"C304, C309, C400, C402, C404, C405, C406, C407, C408, C409, C503","11","C0402L","100nF",""
"C305","1","C0402L","1.0pF",""
"C306","1","C0402L","1.5pF",""
"C307, C403","2","C0402L","1uF",""
"C308","1","C0402L","47nF",""
"C310","1","C0402L","100pF",""
"C311","1","C0402L","820pF",""
"C314, C315, C316, C317","4","C0402L","18pF",""
"C401","1","C0402L","100p",""
"C103, C203, C204, C207, C208","5","C0603L","10uF","100n"
"C104, C303, C505","3","C0603L","1uF","100n, [NoValue]"
"C200","1","C0603L","100nF","100n"
"C205, C206","2","C0603L","2.2uF","100n"
"C300, C301, C302, C312, C313, C502","6","C0603L","4.7uF",""
"C102","1","C0805L","10uF","100n"
"C201, C202","2","C0805L","2.2uF","100n"
"C500, C504","2","C0805L","4.7uF",""
"E300","1","E0805L","ANTENNA","ANTENNA"
"P300","1","HDR1X4","SWD","H4"
"U400","1","HPAK6","VN5E010AH","VN5E010AH"
"L200","1","IND_3015","6.8uH","INDUCTOR"
"L201","1","IND_3015","INDUCTOR","INDUCTOR"
"L300","1","L0402L","4.7nH","INDUCTOR"
"L301","1","L0402L","5.1nH","INDUCTOR"
"L303","1","L0402L","DNP","INDUCTOR"
"L304","1","L0402L","15nH","INDUCTOR"
"L302","1","L0603L","10uH","INDUCTOR"
"P400","1","LPADS-4-2X3","CONNECTOR","H4"
"U100","1","QFN-14-0.50","FUSB302B","FUSB302B"
"U501","1","QFN-20-0.4","AW9106","AW9109"
"U300","1","QFN-40-0.4","NRF52833-QDAA","NRF52833-QDAA"
"R100, R406, R408","3","R0402L","0R","[NoValue], RESISTOR"
"R200, R201, R202, R400, R401, R402, R403, R409, R411","9","R0402L","10k","[NoValue], RESISTOR"
"R203","1","R0402L","33k",""
"R300, R301","2","R0402L","2.2K",""
"R404","1","R0402L","4.7M","RESISTOR"
"R407, R410","2","R0402L","91k","RESISTOR"
"R412","1","R0402L","10R","RESISTOR"
"R500","1","R0402L","910k",""
"D200, D201, D400, D401","4","SOD-123","1N5819HW-7-F","DIODE"
"D100","1","SOD-128","PTVS26VS1UR","DIODE_ZEN"
"D101, D102","2","SOD-323","MM3Z5V1T1G","DIODE_TVS"
"D300","1","SOT-143B","","PRTR5V0U2X"
"U200","1","SOT-236","LMR14006","LMR14006"
"U201","1","SOT-236","AP3012KTR-G1","AP3012KTR-G1"
"U202","1","SOT-236","SC1117-X.XV","SC1117-X.XV"
"R405","1","TC164","TC164-FR-0768RL","RESISTOR_4"
"SW400, SW401","2","TLS A 040J LFS","","TLS A 040J LFS"
"P100","1","TYPE-C-31-M-12","CONNECTOR","TYPE-C-31-M-12"
"U401","1","VSSOP-10","ADS1118","ADS1118"
"U500","1","XF2M-2415-1A-R","ER-OLED015-2","ER-OLED015-2"
"Y300","1","XTAL_2520","7E32000E12UCG","XTAL_4P"
"Y301","1","XTAL_3215","XTAL","XTAL_2P"
